,X,Y,Generadores,Cluster
0,-2.966068,-12.9627285,HP_AILLIN,Cluster 0
1,9.397876,-4.759038,HP_ALFALFAL_2,Cluster 3
2,-0.69809335,-25.165504,HP_ALLIPEN,Cluster 1
3,-2.2973244,-21.392971,HP_ALTO_RENAICO,Cluster 1
4,0.45483884,-9.779452,HP_AUX_DEL_MAIPO,Cluster 0
5,-3.6408105,-28.144695,HP_BIFURCADA,Cluster 1
6,-6.9895263,3.7784643,HP_BONITO_MC1,Cluster 2
7,6.4473205,6.086436,HP_BONITO_MC2,Cluster 3
8,2.1183836,-4.991245,HP_BOQUIAMARGO,Cluster 0
9,-1.9741005,0.3181856,HP_BUREO,Cluster 4
10,-1.7365977,-22.234245,HP_CALIBORO,Cluster 1
11,5.8024497,6.5208693,HP_CALLAO,Cluster 4
12,-7.253168,5.070323,HP_CAPULLO,Cluster 2
13,-1.5241781,-21.165417,HP_CARENA,Cluster 1
14,1.550548,-17.392754,HP_CARILAFQUEN,Cluster 1
15,-3.9050786,-14.003745,HP_CAVANCHA,Cluster 0
16,-14.685783,3.088522,HP_CHANLEUFU,Cluster 2
17,14.921603,5.360501,HP_CHAPIQUINA,Cluster 3
18,-4.312564,-11.597509,HP_CHILCO,Cluster 0
19,-3.5580962,-11.35846,HP_CH_ALTO_BONITO,Cluster 0
20,13.52299,3.9464874,HP_CH_CORRALES,Cluster 3
21,-4.0161395,-12.566808,HP_CH_EL_ATAJO,Cluster 0
22,-3.647612,-13.182334,HP_CH_LOS_LAGOS,Cluster 0
23,3.5498161,-9.380915,HP_CIPRESILLOS,Cluster 0
24,-9.0187435,8.096783,HP_COLLIL,Cluster 2
25,-6.294356,-23.652327,HP_CONTRA,Cluster 1
26,-8.911287,3.5767276,HP_CONVENTO_VIEJO,Cluster 2
27,12.512061,6.0430765,HP_CORRENTOSO,Cluster 3
28,-4.6575603,-12.982757,HP_COSAPILLA,Cluster 0
29,13.59838,5.753051,HP_CUMBRES,Cluster 3
30,2.491289,-5.6333003,HP_CUMPEO,Cluster 0
31,-6.7591677,-23.907906,HP_CURILEUFU,Cluster 1
32,6.5192795,-3.1883924,HP_DIGUA,Cluster 0
33,-0.0073685567,-9.114779,HP_DONA_HILDA,Cluster 0
34,-9.349303,8.08093,HP_DONGO,Cluster 2
35,-1.3174013,-25.514463,HP_DONGUIL,Cluster 1
36,-13.561637,4.5177937,HP_DON_WALTERIO,Cluster 2
37,8.542098,-7.1488013,HP_DOSAL,Cluster 0
38,8.4902935,-7.575524,HP_DOS_VALLES,Cluster 0
39,1.617214,3.6879866,HP_EL_AGRIO,Cluster 4
40,-13.136385,4.8143744,HP_EL_ARRAYAN,Cluster 2
41,-2.476968,-29.189867,HP_EL_BRINCO,Cluster 1
42,1.7484441,4.9338193,HP_EL_CANELO,Cluster 4
43,-9.938001,6.7691226,HP_EL_COLORADO,Cluster 2
44,1.3741839,-24.764355,HP_EL_GALPON,Cluster 1
45,6.170509,-6.0072274,HP_EL_LLANO,Cluster 0
46,-3.811768,-20.97299,HP_EL_MANZANO,Cluster 1
47,-2.818823,1.6942734,HP_EL_MIRADOR,Cluster 4
48,-13.274457,3.7386706,HP_EL_PINAR,Cluster 2
49,-0.87979805,-23.705173,HP_EL_RINCON,Cluster 1
50,12.448857,1.0954287,HP_EL_TARTARO,Cluster 3
51,-10.24072,8.262071,HP_ENSENADA,Cluster 2
52,13.9126625,1.7189736,HP_EYZAGUIRRE,Cluster 3
53,14.886327,6.4112964,HP_FLORIDA_1,Cluster 3
54,3.4846096,-8.00939,HP_FLORIDA_2,Cluster 0
55,-1.3401266,-24.44037,HP_FLORIDA_3,Cluster 1
56,0.81548,-20.974033,HP_GUAYACAN,Cluster 1
57,8.366833,2.9966204,HP_HIDROMOCHO,Cluster 3
58,6.7823753,6.7038946,HP_HIDROPALMAR,Cluster 3
59,-1.068373,6.9425726,HP_ITATA,Cluster 4
60,4.71152,5.6615844,HP_LAS_FLORES,Cluster 4
61,8.761978,-5.6387973,HP_LAS_LAJAS,Cluster 0
62,0.63368356,-10.8803835,HP_LAS_NIEVES,Cluster 0
63,-0.33027783,-25.906847,HP_LAS_VERTIENTES,Cluster 1
64,-15.273222,3.6547067,HP_LA_ARENA,Cluster 2
65,11.328269,2.5054994,HP_LA_COMPANIA_2,Cluster 3
66,10.250263,2.0964692,HP_LA_CONFIANZA,Cluster 3
67,0.9370712,-4.069516,HP_LA_MONTANA_1,Cluster 0
68,0.50902086,-3.978638,HP_LA_MONTANA_2,Cluster 0
69,13.256161,-2.3679721,HP_LA_PALOMA,Cluster 3
70,-4.144193,-28.003147,HP_LA_VINA,Cluster 1
71,3.1622534,-10.949869,HP_LIRCAY,Cluster 0
72,0.28779897,4.2486124,HP_LLEUQUEREO,Cluster 4
73,-0.42035407,-22.487207,HP_LOS_BAJOS,Cluster 1
74,-6.0432525,4.697102,HP_LOS_CORRALES_1,Cluster 2
75,-3.1756022,5.4822645,HP_LOS_CORRALES_2,Cluster 4
76,0.67630464,-19.419655,HP_LOS_MORROS,Cluster 1
77,0.3382138,-28.673086,HP_LOS_PADRES,Cluster 1
78,-3.4687238,7.2839203,HP_MAISAN,Cluster 4
79,-3.3478546,0.5473777,HP_MALALCAHUELLO,Cluster 4
80,-2.6508198,-24.54584,HP_MALLARAUCO,Cluster 1
81,-14.669133,5.2716227,HP_MARIA_ELENA,Cluster 2
82,2.9680243,-11.321619,HP_MARIPOSAS,Cluster 0
83,-2.717164,-22.386467,HP_MELO,Cluster 1
84,-0.10437899,-29.443323,HP_MHAH,Cluster 1
85,0.1796207,-29.890884,HP_MHSR,Cluster 1
86,-3.1531312,-18.786987,HP_MHT2,Cluster 1
87,-6.3316674,5.7344007,HP_MOLINERA_VILLARRICA,Cluster 2
88,12.328255,3.2236092,HP_MORAGA,Cluster 3
89,-14.149072,6.6436825,HP_MSA_1,Cluster 2
90,4.7571087,6.244039,HP_MUCHI,Cluster 4
91,-1.8401923,1.623978,HP_MULCHEN,Cluster 4
92,-1.4882077,0.83323705,HP_MUNILQUE_1,Cluster 4
93,-2.1997602,0.7908657,HP_MUNILQUE_2,Cluster 4
94,3.6015637,5.4722013,HP_NALCAS,Cluster 4
95,12.803111,4.567055,HP_PALACIOS,Cluster 3
96,0.80583686,-29.514952,HP_PANGUIPULLI,Cluster 1
97,-14.596584,4.7598505,HP_PEHUI,Cluster 2
98,-6.7288475,-23.279768,HP_PICHILONCO,Cluster 1
99,-0.8547927,5.619643,HP_PICOIQUEN,Cluster 4
100,13.672967,4.700671,HP_PIEDRAS_NEGRAS,Cluster 3
101,0.15484019,6.0744786,HP_PIUTEL,Cluster 4
102,-2.711198,9.842152,HP_PROVIDENCIA,Cluster 4
103,13.562115,-3.4861155,HP_PUCLARO,Cluster 3
104,-5.457174,4.88985,HP_PULELFU,Cluster 4
105,-0.506696,-16.062254,HP_PUNTILLA,Cluster 0
106,-8.749593,2.5512154,HP_PURISIMA,Cluster 2
107,-4.258245,8.778511,HP_QUILLAILEO,Cluster 4
108,-6.748792,8.640455,HP_RECA,Cluster 2
109,-0.07857987,-24.770658,HP_RENAICO,Cluster 1
110,-1.8974009,-23.489603,HP_RININAHUE,Cluster 1
111,-2.979604,-11.829738,HP_RININAHUE_2,Cluster 0
112,2.1966102,-4.2859273,HP_RIO_COLORADO,Cluster 0
113,13.347103,-2.887384,HP_RIO_HUASCO,Cluster 3
114,-2.9657803,4.8096905,HP_RIO_TRUENO,Cluster 4
115,-0.31771702,5.7467303,HP_SANTA_ELENA,Cluster 4
116,-9.806817,5.716073,HP_SANTA_ISABEL,Cluster 2
117,12.358056,2.6367342,HP_SAN_JOSE,Cluster 3
118,11.677247,3.529799,HP_SAN_LUIS,Cluster 3
119,6.247851,-5.30326,HP_SAUCEANDES,Cluster 0
120,3.5167143,-8.967291,HP_SAUZALITO,Cluster 0
121,-2.5075583,9.957928,HP_TRAILELFU,Cluster 4
122,-12.15381,4.6315117,HP_TRANQUIL,Cluster 2
123,-3.0008216,-26.644995,HP_TRUFULTRUFUL,Cluster 1
124,10.145285,2.608415,HP_TRUPAN,Cluster 3
125,-0.35542765,-16.565443,HP_VOLCAN,Cluster 1
126,7.238484,-7.6524234,HS_ANCOA,Cluster 0
