Cluster,name,capacity,,,,,
Cluster 0,W_UCUQUER,6.965,EOLICO_1,,Cluster 0,1039.15,EOLICO_1
Cluster 0,W_UCUQUER_2,10.185,EOLICO_1,,Cluster 1,778,EOLICO_2
Cluster 0,W_P_COLORADA,20,EOLICO_1,,Cluster 2,673.4,EOLICO_3
Cluster 0,W_MANANTIALES,24,EOLICO_1,,Cluster 3,626,EOLICO_4
Cluster 0,W_CARDONAL,30,EOLICO_1,,Cluster 4,1094.55,EOLICO_5
Cluster 0,W_CERRILLOS,48,EOLICO_1,,Cluster 5,752.4,EOLICO_6
Cluster 0,W_LA_ESTRELLA,50,EOLICO_1,,Cluster 6,889.22,EOLICO_7
Cluster 0,W_MESAMAVIDA,60,EOLICO_1,,Cluster 7,702,EOLICO_8
Cluster 0,W_ALENA,84,EOLICO_1,,Cluster 8,1159.5,EOLICO_9
Cluster 0,W_EDF_MAQUI,91,EOLICO_1,,Cluster 9,0,EOLICO_10
Cluster 0,W_TALTAL,99,EOLICO_1,,,,
Cluster 0,W_LOS_OLMOS,100,EOLICO_1,,,,
Cluster 0,W_PAMPAS,120,EOLICO_1,,,,
Cluster 0,W_EDF_WAYRA,296,EOLICO_1,,,,
Cluster 1,W_HORIZONTE,778,EOLICO_2,,,,
Cluster 2,W_EL_MAITEN,9,EOLICO_3,,,,
Cluster 2,W_EL_NOGAL,9,EOLICO_3,,,,
Cluster 2,W_LA_ESPERANZA,10.5,EOLICO_3,,,,
Cluster 2,W_LOS_BUENOS_AIRES,24,EOLICO_3,,,,
Cluster 2,W_LA_FLOR,32.4,EOLICO_3,,,,
Cluster 2,W_CUEL,33,EOLICO_3,,,,
Cluster 2,W_NEGRETE_E1,36,EOLICO_3,,,,
Cluster 2,W_LOMAS_DE_DUQUECO,57.4,EOLICO_3,,,,
Cluster 2,W_SAN_MATIAS,73,EOLICO_3,,,,
Cluster 2,W_CAMPO_LINDO,73.1,EOLICO_3,,,,
Cluster 2,W_TOLPAN_SUR,84,EOLICO_3,,,,
Cluster 2,W_RENAICO,88,EOLICO_3,,,,
Cluster 2,W_RENAICO_2,144,EOLICO_3,,,,
Cluster 3,W_SAN_GABRIEL,183,EOLICO_4,,,,
Cluster 3,W_ENTRE_RIOS,185,EOLICO_4,,,,
Cluster 3,W_RINCONADA,258,EOLICO_4,,,,
Cluster 9,GX_W_CAUTIN,0,EOLICO_10,,,,
Cluster 9,GX_W_CHARRUA,0,EOLICO_10,,,,
Cluster 9,GX_W_CHILOE,0,EOLICO_10,,,,
Cluster 9,GX_W_CONCEPCION,0,EOLICO_10,,,,
Cluster 9,GX_W_KIMAL,0,EOLICO_10,,,,
Cluster 9,GX_W_MAITENCILLO,0,EOLICO_10,,,,
Cluster 9,GX_W_PARINAS,0,EOLICO_10,,,,
Cluster 9,GX_W_PICHIRROPULLI,0,EOLICO_10,,,,
Cluster 9,GX_W_RIO_MALLECO_500,0,EOLICO_10,,,,
Cluster 4,W_CANELA,18.15,EOLICO_5,,,,
Cluster 4,W_PUNTA_PALMERAS,45,EOLICO_5,,,,
Cluster 4,W_TOTORAL,46,EOLICO_5,,,,
Cluster 4,W_MONTE_REDONDO,48,EOLICO_5,,,,
Cluster 4,W_CANELA_2,60,EOLICO_5,,,,
Cluster 4,W_TALINAY_PONIENTE,60.6,EOLICO_5,,,,
Cluster 4,W_PUNTA_SIERRA,82,EOLICO_5,,,,
Cluster 4,W_PUNTA_DE_TALCA,86.4,EOLICO_5,,,,
Cluster 4,W_TALINAY_ORIENTE,90,EOLICO_5,,,,
Cluster 4,W_LOS_CURUROS,109.6,EOLICO_5,,,,
Cluster 4,W_EL_ARRAYAN,115,EOLICO_5,,,,
Cluster 4,W_ATACAMA,165,EOLICO_5,,,,
Cluster 4,W_SARCO,168.8,EOLICO_5,,,,
Cluster 5,W_CABO_LEONES_1,175.5,EOLICO_6,,,,
Cluster 5,W_SAN_JUAN,184.8,EOLICO_6,,,,
Cluster 5,W_CABO_LEONES_3,188.1,EOLICO_6,,,,
Cluster 5,W_CABO_LEONES_2_F1,204,EOLICO_6,,,,
Cluster 6,W_OCHS,2.9,EOLICO_7,,,,
Cluster 6,W_EL_CRUCE,3,EOLICO_7,,,,
Cluster 6,W_LEBU_2,3.47,EOLICO_7,,,,
Cluster 6,W_LEBU_3,5.25,EOLICO_7,,,,
Cluster 6,W_HUAJACHE,6,EOLICO_7,,,,
Cluster 6,W_LEBU,6.5,EOLICO_7,,,,
Cluster 6,W_LAS_PENAS,8,EOLICO_7,,,,
Cluster 6,W_EL_ARREBOL,9,EOLICO_7,,,,
Cluster 6,W_RAKI,9,EOLICO_7,,,,
Cluster 6,W_SAN_PEDRO,36,EOLICO_7,,,,
Cluster 6,W_CAMAN_2,60,EOLICO_7,,,,
Cluster 6,W_SAN_PEDRO_2,65,EOLICO_7,,,,
Cluster 6,W_AURORA,126.4,EOLICO_7,,,,
Cluster 6,W_EOLICO_SAN_ANDRES,130,EOLICO_7,,,,
Cluster 6,W_MALLECO,135.1,EOLICO_7,,,,
Cluster 6,W_MALLECO_2,137.9,EOLICO_7,,,,
Cluster 6,W_CAMAN,145.7,EOLICO_7,,,,
Cluster 7,W_PUELCHE_SUR,152.4,EOLICO_8,,,,
Cluster 7,W_LOMA_VERDE,173.6,EOLICO_8,,,,
Cluster 7,W_COLINAS,188,EOLICO_8,,,,
Cluster 7,W_EOLICO_LONCALHUE,188,EOLICO_8,,,,
Cluster 8,W_CALAMA_EOE2,50,EOLICO_9,,,,
Cluster 8,W_VALLE_DE_LOS_VIENTOS,90,EOLICO_9,,,,
Cluster 8,W_CALAMA_EOE1,100,EOLICO_9,,,,
Cluster 8,W_CKANI,107.2,EOLICO_9,,,,
Cluster 8,W_SIERRA_GORDA,112,EOLICO_9,,,,
Cluster 8,W_TCHAMA,155.4,EOLICO_9,,,,
Cluster 8,W_LLANOS_DEL_VIENTO,156.1,EOLICO_9,,,,
Cluster 8,W_CERRO_TIGRE,184.8,EOLICO_9,,,,
Cluster 8,W_VIENTOS_DEL_LOA_CALAMA_C,204,EOLICO_9,,,,
