Cluster,name,capacity,,,
EOLICA_1,EL_ARREBOL_EO,9,,EOLICA_1,713.5717243
EOLICA_1,Eolica_Biobio_63,313.5817243,,EOLICA_2,1075.505
EOLICA_1,HUAJACHE_EO,6,,EOLICA_3,1040.601289
EOLICA_1,LAS_PENAS_EO,8,,EOLICA_4,1072.798
EOLICA_1,LA_FLOR_EO,32.4,,EOLICA_5,1051.369
EOLICA_1,LEBU_2_EO,3.25,,EOLICA_6,533.06
EOLICA_1,LEBU_3_EO,5.25,,EOLICA_7,462
EOLICA_1,LEBU_EO,6.09,,EOLICA_8,698
EOLICA_1,LOS_OLMOS_EO,100,,EOLICA_9,953.1421681
EOLICA_1,SAN_GABRIEL_EO,180,,EOLICA_10,1248.759139
EOLICA_1,LA_ESTRELLA_EO,50,,EOLICA_11,671.9268902
EOLICA_10,Eolica_Coquimbo_26,328.7591394,,,
EOLICA_10,Eolica_Pampa_Fidelia,920,,,
EOLICA_11,Eolica_Marmoleras,150,,,
EOLICA_11,Eolica_Ohiggins_36,45.01958897,,,
EOLICA_11,Eolica_Atacama_21,160.2664987,,,
EOLICA_11,Eolica_Coquimbo_28,316.6408025,,,
EOLICA_2,CANELA_2_EO,60,,,
EOLICA_2,CANELA_EO,18.15,,,
EOLICA_2,EL_ARRAYAN_EO,115,,,
EOLICA_2,LOS_CURUROS_EO,107.7,,,
EOLICA_2,MONTE_REDONDO_EO,48,,,
EOLICA_2,PUNTA_COLORADA_EO,20,,,
EOLICA_2,PUNTA_PALMERAS_EO,45,,,
EOLICA_2,PUNTA_SIERRA_EO,81.185,,,
EOLICA_2,PuntadeTalca,87.32,,,
EOLICA_2,SAN_JUAN_EO,189.4,,,
EOLICA_2,TALINAY_ORIENTE_EO,90,,,
EOLICA_2,TALINAY_PONIENTE_EO,60.6,,,
EOLICA_2,TOTORAL_EO,46,,,
EOLICA_2,UCUQUER_2_EO,10.185,,,
EOLICA_2,UCUQUER_EO,6.965,,,
EOLICA_2,VALLE_DE_LOS_VIENTOS_EO,90,,,
EOLICA_3,Eolica_Antofagasta_4,93.60128929,,,
EOLICA_3,Eolica_Horizonte,812,,,
EOLICA_3,SAN_PEDRO_EO,36,,,
EOLICA_3,TALTAL_EO,99,,,
EOLICA_4,ALENA_EO,84,,,
EOLICA_4,CABO_LEONES_1_EO,175.5,,,
EOLICA_4,CABO_LEONES_2_EO,205.7,,,
EOLICA_4,CABO_LEONES_3_EO,80.598,,,
EOLICA_4,CUEL_EO,33,,,
EOLICA_4,Campo Lindo,72,,,
EOLICA_4,EL_MAITEN_EO,9,,,
EOLICA_4,EL_NOGAL_EO,9,,,
EOLICA_4,Eolica testigo 2,204,,,
EOLICA_4,Eolica testigo 3,200,,,
EOLICA_5,AURORA_EO,126.6,,,
EOLICA_5,Caman,165.75,,,
EOLICA_5,EL_CRUCE_EO,2.9,,,
EOLICA_5,OCHS_EO,2.9,,,
EOLICA_5,CALAMA_EO,150,,,
EOLICA_5,Cerro_Tigre_EO,184.8,,,
EOLICA_5,SIERRA_GORDA_EO,110.619,,,
EOLICA_5,Tchamma_EO,155.4,,,
EOLICA_5,PUELCHE_SUR_EO,152.4,,,
EOLICA_6,RENAICO_EO,88,,,
EOLICA_6,LOS_BUENOS_AIRES_EO,24,,,
EOLICA_6,RENAICO_II_EO,144,,,
EOLICA_6,SARCO_EO,167.56,,,
EOLICA_6,SanRarinco,99,,,
EOLICA_6,LA_ESPERANZA_EO,10.5,,,
EOLICA_7,MALLECO_F1_EO,135.1,,,
EOLICA_7,MALLECO_F2_EO,137.9,,,
EOLICA_7,MESAMAVIDA_EO,60,,,
EOLICA_7,NEGRETE_E1_EO,36,,,
EOLICA_7,RAKI_EO,9,,,
EOLICA_7,TOLPAN_SUR_EO,84,,,
EOLICA_8,Eolica_Lomas_de_Taltal,353,,,
EOLICA_8,Eolica_Nolana,280,,,
EOLICA_8,SAN_PEDRO_2_EO,65,,,
EOLICA_9,Eolica_LosLagos_106,180.9910438,,,
EOLICA_9,Eolica_LosRios_99,420.4923634,,,
EOLICA_9,Eolica_Maule_37,88.64508175,,,
EOLICA_9,Eolica_araucania_80,263.0136791,,,
